total cpu usage,,,,,dsk/total,,net/total,,paging,,system,,system
usr,sys,idl,wai,stl,read,writ,recv,send,in,out,int,csw,time
1.622,0.876,97.414,0.088,0,2379472.986,2018937.439,0,0,0,0,4158.401,7212.25,27-08 10:57:51
0.63,0.378,98.992,0,0,0,0,19350,0,0,0,7001,2338,27-08 10:57:52
4.571,3.131,92.298,0,0,0,0,8073,0,0,0,3206,9336,27-08 10:57:53
10.219,14.796,74.545,0.439,0,0,483328,11309,0,0,0,3244,35080,27-08 10:57:54
10.763,13.329,75.907,0,0,0,262144,17332,0,0,0,3254,41527,27-08 10:57:55
10.126,13.899,75.849,0.126,0,32768,393216,17805,0,0,0,3117,40978,27-08 10:57:56
10.431,13.804,75.765,0,0,0,0,16013,0,0,0,3299,43886,27-08 10:57:57
10.993,14.428,74.578,0,0,0,0,14542,0,0,0,3230,38372,27-08 10:57:58
10.516,14.872,74.611,0,0,0,598016,13766,0,0,0,9268,37011,27-08 10:57:59
9.925,14.669,75.406,0,0,0,0,13253,0,0,0,7487,38978,27-08 10:58:00
10.98,14.206,74.814,0,0,0,565248,16458,0,0,0,4337,41672,27-08 10:58:01
10.986,14.357,74.657,0,0,0,0,13994,100,0,0,3397,38027,27-08 10:58:02
9.673,14.447,75.628,0.251,0,0,311296,19364,0,0,0,3255,40850,27-08 10:58:03
10.51,14.49,74.876,0.124,0,0,8192,18271,0,0,0,3222,37850,27-08 10:58:04
10.411,14.339,75.249,0,0,0,0,13877,0,0,0,3312,40697,27-08 10:58:05
10.224,14.401,75.374,0,0,0,0,13368,0,0,0,3216,40137,27-08 10:58:06
9.416,14.689,75.895,0,0,0,0,13820,0,0,0,3052,44323,27-08 10:58:07
9.733,15.003,75.263,0,0,0,0,10861,0,0,0,3240,44739,27-08 10:58:08
10.037,14.87,74.845,0.248,0,0,303104,6283,0,0,0,3181,41897,27-08 10:58:09
9.491,14.393,76.116,0,0,0,0,12173,0,0,0,3346,45196,27-08 10:58:10
9.688,14.812,75.5,0,0,0,172032,10454,0,0,0,3298,43343,27-08 10:58:11
9.826,14.614,75.56,0,0,0,0,5758,0,0,0,3091,45365,27-08 10:58:12
9.159,15.327,75.514,0,0,0,0,21926,0,0,0,3172,42349,27-08 10:58:13
9.85,14.776,75.374,0,0,0,0,10172,0,0,0,3167,40253,27-08 10:58:14
9.882,14.792,75.326,0,0,0,0,9431,0,0,0,3037,39564,27-08 10:58:15
9.633,14.854,75.513,0,0,0,0,9081,0,0,0,3059,45760,27-08 10:58:16
9.857,14.847,74.922,0.374,0,0,114688,9956,0,0,0,3188,42595,27-08 10:58:17
9.5,14.875,75.625,0,0,0,0,16536,0,0,0,3355,42407,27-08 10:58:18
9.962,14.098,75.94,0,0,0,0,17343,0,0,0,2989,39725,27-08 10:58:19
10.349,14.277,75.374,0,0,0,0,9509,0,0,0,3068,40249,27-08 10:58:20
