total cpu usage,,,,,dsk/total,,net/total,,paging,,system,,system
usr,sys,idl,wai,stl,read,writ,recv,send,in,out,int,csw,time
2.023,0.827,97.052,0.097,0,1111294.46,1122610.665,0,0,0,0,4492.061,5925.571,27-08 11:44:38
0.569,0.253,99.179,0,0,0,0,7009,0,0,0,7353,2239,27-08 11:44:39
3.652,4.786,91.562,0,0,0,0,9084,0,0,0,3321,47612,27-08 11:44:40
13.016,24.825,61.968,0.19,0,32768,475136,39954,0,0,0,9155,250718,27-08 11:44:41
13.802,26.901,59.233,0.064,0,0,196608,22627,42,0,0,9375,262604,27-08 11:44:42
14.167,28.015,57.754,0.064,0,0,1654784,12615,0,0,0,9208,266877,27-08 11:44:43
14.159,30.032,55.81,0,0,0,0,6291,0,0,0,10507,273358,27-08 11:44:44
11.787,24.151,64.061,0,0,0,0,15309,0,0,0,8197,262414,27-08 11:44:45
15.409,28.772,55.818,0,0,0,974848,12150,513,0,0,11631,286529,27-08 11:44:46
14.047,30.597,55.356,0,0,0,0,12584,4560,0,0,22533,277756,27-08 11:44:47
14.322,29.544,56.134,0,0,0,1105920,17555,4721,0,0,21761,283538,27-08 11:44:48
15.28,29.078,55.642,0,0,0,0,10155,2735,0,0,21871,281310,27-08 11:44:49
14.729,27.713,57.558,0,0,0,0,4461,684,0,0,21418,272764,27-08 11:44:50
15.296,28.808,55.449,0.446,0,0,122880,10756,0,0,0,12340,287907,27-08 11:44:51
12.907,26.965,60.128,0,0,0,0,11386,2442,0,0,9367,274232,27-08 11:44:52
14.085,29.7,56.214,0,0,0,0,14064,0,0,0,11111,284758,27-08 11:44:53
14.432,29.885,55.683,0,0,0,1351680,151546,0,0,0,10732,284134,27-08 11:44:54
16.199,27.487,56.314,0,0,0,0,11664,0,0,0,10097,286144,27-08 11:44:55
14.898,29.668,55.435,0,0,0,0,4532,0,0,0,10357,288842,27-08 11:44:56
14.577,29.726,55.315,0.382,0,0,49152,8018,0,0,0,10695,288222,27-08 11:44:57
15.507,28.59,55.903,0,0,0,0,8289,0,0,0,11174,288624,27-08 11:44:58
14.331,30.51,55.159,0,0,0,0,10540,0,0,0,10612,284246,27-08 11:44:59
14.857,28.698,56.444,0,0,0,0,14991,0,0,0,17878,283942,27-08 11:45:00
14.442,29.461,56.098,0,0,0,0,8932,174,0,0,10733,289377,27-08 11:45:01
13.804,28.244,57.952,0,0,0,32768,26425,417,0,0,9930,281208,27-08 11:45:02
14.779,29.111,56.11,0,0,0,0,11383,0,0,0,11148,288249,27-08 11:45:03
13.994,28.498,57.508,0,0,0,0,21770,0,0,0,10267,282260,27-08 11:45:04
14.313,28.244,57.443,0,0,0,0,84232,0,0,0,10035,282334,27-08 11:45:05
14.442,29.14,56.418,0,0,0,0,9773,0,0,0,10627,289295,27-08 11:45:06
14.277,29.509,56.214,0,0,0,0,13968,171,0,0,10780,285840,27-08 11:45:07
